wavelength, Radiance
2.673479976918243128e+00 2.964661527662401652e-01
2.694309927279227690e+00 8.610031611249575889e-02
2.714940111814807988e+00 2.214598816851775509e-01
2.735529874461883892e+00 3.368593655609907755e-01
2.755850091014705239e+00 1.224421753794671941e-01
2.776910070517132123e+00 9.601955903195906472e-02
2.797579981412878780e+00 1.963676971231457791e-01
2.818320015784846699e+00 3.312087552091148579e-01
2.838769932600504475e+00 4.444459897755666522e-01
2.859819893690771053e+00 5.463898451653105282e-01
2.880749861493546504e+00 6.032470238865316192e-01
