wavelength, Radiance
2.673479976918243128e+00 1.786525722081718504e-01
2.694309927279227690e+00 4.444302674396513608e-02
2.714940111814807988e+00 1.243000764526594609e-01
2.735529874461883892e+00 1.988530005428765235e-01
2.755850091014705239e+00 6.572631056760316892e-02
2.776910070517132123e+00 5.012485207554323585e-02
2.797579981412878780e+00 1.090104965787535296e-01
2.818320015784846699e+00 2.034864798889768067e-01
2.838769932600504475e+00 2.954800396482122893e-01
2.859819893690771053e+00 3.823669990185273315e-01
2.880749861493546504e+00 4.324475222496380056e-01
