wavelength, Radiance
2.673479976918243128e+00 3.929411390321752573e-01
2.694309927279227690e+00 1.252996487508997170e-01
2.714940111814807988e+00 3.041615348960516330e-01
2.735529874461883892e+00 4.482043110761759763e-01
2.755850091014705239e+00 1.731839461643072398e-01
2.776910070517132123e+00 1.381978054871915440e-01
2.797579981412878780e+00 2.702889158900023125e-01
2.818320015784846699e+00 4.306524274546745801e-01
2.838769932600504475e+00 5.531691921285184499e-01
2.859819893690771053e+00 6.596752018839825427e-01
2.880749861493546504e+00 7.174998998610329082e-01
