wavelength, MY27:ORB0518_3, MY28:ORB3198_5
4.574910163879394531e+00 1.019003614783287048e-01 2.896552085876464844e-01
4.594900131225585938e+00 1.009919270873069763e-01 3.048729598522186279e-01
4.614140033721923828e+00 1.026031672954559326e-01 2.974764108657836914e-01
4.634300231933593750e+00 1.090147867798805237e-01 2.980167865753173828e-01
4.653279781341552734e+00 1.086260974407196045e-01 3.082500100135803223e-01
4.672430038452148438e+00 9.864737093448638916e-02 3.512841165065765381e-01
4.691790103912353516e+00 9.492053091526031494e-02 3.334311544895172119e-01
4.711110115051269531e+00 9.894318133592605591e-02 3.318215310573577881e-01
4.730500221252441406e+00 1.009138375520706177e-01 3.407551348209381104e-01
4.750289916992187500e+00 1.059728860855102539e-01 3.477089405059814453e-01
4.769199848175048828e+00 1.014666333794593811e-01 3.597165048122406006e-01
4.788390159606933594e+00 8.362377434968948364e-02 3.611973524093627930e-01
4.807209968566894531e+00 8.866454660892486572e-02 3.349876999855041504e-01
4.826290130615234375e+00 9.323619306087493896e-02 3.230952918529510498e-01
4.844530105590820312e+00 9.720242768526077271e-02 3.551868498325347900e-01
4.864399909973144531e+00 1.112655773758888245e-01 3.662927746772766113e-01
4.883029937744140625e+00 1.145546659827232361e-01 3.875579833984375000e-01
4.902309894561767578e+00 1.210496947169303894e-01 4.358392059803009033e-01
4.921040058135986328e+00 1.291848272085189819e-01 4.532524943351745605e-01
4.939390182495117188e+00 1.318625658750534058e-01 4.854641258716583252e-01
4.957970142364501953e+00 1.295521855354309082e-01 5.076562762260437012e-01
4.976290225982666016e+00 1.350450217723846436e-01 5.285272002220153809e-01
4.994900226593017578e+00 1.350673288106918335e-01 5.485634207725524902e-01
5.014989852905273438e+00 1.406213939189910889e-01 5.692114233970642090e-01
5.033510208129882812e+00 1.418395489454269409e-01 5.795897245407104492e-01
5.051799774169921875e+00 1.448114216327667236e-01 6.050494909286499023e-01
5.070909976959228516e+00 1.449315696954727173e-01 6.115248799324035645e-01
