Longitude[deg], Latitude[deg], Radiance
24.861300 7.754500 0.030494
24.869400 7.754200 0.025325
24.878700 7.753800 0.025325
24.886799 7.753400 0.030494
24.894899 7.753100 0.035664
24.904200 7.752700 0.040833
24.912300 7.752300 0.040833
24.920399 7.752000 0.051171
24.928600 7.751600 0.035664
24.937799 7.751200 0.040833
24.945999 7.750900 0.040833
24.954100 7.750500 0.030494
24.963400 7.750100 0.046002
24.700499 7.749000 0.040753
24.713200 7.748600 0.030415
24.717800 7.748300 0.035584
24.725800 7.747900 0.025246
24.735100 7.747600 0.040753
24.741999 7.747200 0.035584
24.751200 7.746800 0.030415
24.759300 7.746500 0.035584
24.768599 7.746100 0.040753
24.776699 7.745800 0.040753
24.784800 7.745400 0.030415
24.792900 7.745000 0.035584
24.802200 7.744700 0.035584
24.810299 7.744300 0.035584
24.819599 7.743900 0.040753
24.827700 7.743600 0.040753
24.835800 7.743200 0.030415
24.844999 7.742900 0.045923
24.853100 7.742500 0.035584
24.861198 7.742100 0.040753
24.869400 7.741800 0.035584
24.878599 7.741400 0.030415
24.886700 7.741000 0.040753
24.894899 7.740700 0.051092
24.904099 7.740300 0.035584
24.912300 7.739900 0.030415
24.920399 7.739600 0.035584
24.929699 7.739200 0.035584
24.937799 7.738800 0.030415
24.945900 7.738500 0.045923
24.955200 7.738100 0.035584
24.963299 7.737700 0.045923
24.700300 7.736600 0.040673
24.712999 7.736200 0.035503
24.717600 7.735900 0.030334
24.725698 7.735500 0.030334
24.734999 7.735200 0.040673
24.741899 7.734800 0.030334
24.751099 7.734500 0.045842
24.759199 7.734100 0.045842
24.767300 7.733700 0.040673
24.776600 7.733400 0.035503
24.784698 7.733000 0.030334
24.793999 7.732600 0.040673
24.802099 7.732300 0.030334
24.810200 7.731900 0.030334
24.819500 7.731600 0.035503
24.827599 7.731200 0.035503
24.835699 7.730800 0.066519
24.844900 7.730500 0.051011
24.853100 7.730100 0.040673
24.861198 7.729700 0.040673
24.869299 7.729400 0.035503
24.878599 7.729000 0.045842
24.886700 7.728600 0.035503
24.894800 7.728300 0.030334
24.904099 7.727900 0.056180
24.912199 7.727500 0.040673
24.920300 7.727200 0.045842
24.928400 7.726800 0.051011
24.937700 7.726500 0.051011
24.945900 7.726100 0.040673
24.953999 7.725700 0.035503
24.963299 7.725400 0.025165
24.698999 7.724200 0.035424
24.712900 7.723800 0.050932
24.717499 7.723500 0.040593
24.725599 7.723200 0.056101
24.734798 7.722800 0.040593
24.741800 7.722400 0.045762
24.750999 7.722100 0.030255
24.759100 7.721700 0.045762
24.767199 7.721300 0.040593
24.776499 7.721000 0.035424
24.784599 7.720600 0.030255
24.792700 7.720300 0.030255
24.802000 7.719900 0.040593
24.810099 7.719500 0.025085
24.819399 7.719200 0.040593
24.827499 7.718800 0.035424
24.835600 7.718400 0.045762
24.844900 7.718100 0.045762
24.852999 7.717700 0.040593
24.861099 7.717300 0.045762
24.869200 7.717000 0.040593
24.877300 7.716600 0.045762
24.886599 7.716300 0.035424
24.895899 7.715900 0.035424
24.902800 7.715500 0.030255
24.912100 7.715200 0.035424
24.920198 7.714800 0.045762
24.928400 7.714400 0.035424
24.937700 7.714100 0.040593
24.945799 7.713700 0.035424
24.955099 7.713300 0.035424
24.963200 7.713000 0.040593
24.699999 7.711800 0.045682
24.712700 7.711500 0.040512
24.717400 7.711100 0.040512
24.725500 7.710800 0.040512
24.734699 7.710400 0.030174
24.741699 7.710000 0.045682
24.750900 7.709700 0.045682
24.758999 7.709300 0.045682
24.768299 7.709000 0.035343
24.776400 7.708600 0.035343
24.784500 7.708200 0.025005
24.792599 7.707900 0.045682
24.801899 7.707500 0.040512
24.809999 7.707100 0.045682
24.819300 7.706800 0.040512
24.827400 7.706400 0.040512
24.835499 7.706100 0.045682
24.844799 7.705700 0.045682
24.852900 7.705300 0.040512
24.861000 7.705000 0.045682
24.869099 7.704600 0.030174
24.878399 7.704200 0.030174
24.886499 7.703900 0.045682
24.894600 7.703500 0.045682
24.903900 7.703100 0.045682
24.912100 7.702800 0.040512
24.920198 7.702400 0.045682
24.929499 7.702000 0.050851
24.937599 7.701700 0.045682
24.945700 7.701300 0.045682
24.955000 7.700900 0.040512
24.963200 7.700600 0.050851
24.698799 7.699500 0.040433
24.712599 7.699100 0.035264
24.717199 7.698700 0.030094
24.725300 7.698400 0.030094
24.734600 7.698000 0.040433
24.742699 7.697700 0.045602
24.750799 7.697300 0.045602
24.758900 7.696900 0.040433
24.768200 7.696600 0.019756
24.776299 7.696200 0.040433
24.784399 7.695800 0.045602
24.793699 7.695500 0.024925
24.801800 7.695100 0.040433
24.809900 7.694800 0.045602
24.817999 7.694400 0.045602
24.827299 7.694000 0.040433
24.835400 7.693700 0.045602
24.844700 7.693300 0.045602
24.852798 7.692900 0.045602
24.860899 7.692600 0.035264
24.868999 7.692200 0.030094
24.878300 7.691800 0.035264
24.886499 7.691500 0.035264
24.894600 7.691100 0.040433
24.903900 7.690700 0.030094
24.911999 7.690400 0.030094
24.920099 7.690000 0.035264
24.928200 7.689700 0.045602
24.937500 7.689300 0.040433
24.945700 7.688900 0.035264
24.953800 7.688600 0.040433
24.963099 7.688200 0.024925
24.699799 7.687100 0.040352
24.712500 7.686700 0.040352
24.717100 7.686300 0.045521
24.725199 7.686000 0.030014
24.733299 7.685600 0.040352
24.742599 7.685300 0.030014
24.750700 7.684900 0.035183
24.758799 7.684500 0.035183
24.766899 7.684200 0.045521
24.776199 7.683800 0.050691
24.784300 7.683500 0.035183
24.792398 7.683100 0.050691
24.801699 7.682700 0.024844
24.809799 7.682400 0.045521
24.817900 7.682000 0.040352
24.827200 7.681600 0.040352
24.835299 7.681300 0.035183
24.844599 7.680900 0.040352
24.852699 7.680500 0.035183
24.860800 7.680200 0.030014
24.870100 7.679800 0.035183
24.878199 7.679400 0.030014
24.886400 7.679100 0.035183
24.894499 7.678700 0.040352
24.903799 7.678400 0.050691
24.911900 7.678000 0.040352
24.920099 7.677600 0.050691
24.929300 7.677300 0.019675
24.937500 7.676900 0.040352
24.945599 7.676500 0.035183
24.954899 7.676200 0.024844
24.963099 7.675800 0.050691
24.698500 7.674700 0.045442
24.712299 7.674300 0.035103
24.716999 7.674000 0.024765
24.725100 7.673600 0.035103
24.734400 7.673200 0.040273
24.741299 7.672900 0.029934
24.750599 7.672500 0.040273
24.758699 7.672200 0.050611
24.766800 7.671800 0.045442
24.776100 7.671400 0.040273
24.784199 7.671100 0.035103
24.792299 7.670700 0.035103
24.801600 7.670300 0.040273
24.809700 7.670000 0.045442
24.819000 7.669600 0.040273
24.827099 7.669200 0.040273
24.835199 7.668900 0.040273
24.844500 7.668500 0.040273
24.852600 7.668200 0.035103
24.860800 7.667800 0.045442
24.869999 7.667400 0.040273
24.878199 7.667100 0.029934
24.886299 7.666700 0.029934
24.894400 7.666300 0.035103
24.903700 7.666000 0.040273
24.911900 7.665600 0.045442
24.920000 7.665200 0.040273
24.928099 7.664900 0.040273
24.937399 7.664500 0.045442
24.945599 7.664100 0.024765
24.954899 7.663800 0.040273
24.962999 7.663400 0.029934
24.698299 7.660800 0.045361
24.712200 7.660400 0.040192
24.716900 7.660000 0.040192
24.724998 7.659700 0.035022
24.734200 7.659300 0.040192
